time,MM,YYYY,CFC-11,---,CFC-12,---,CFC-113,---,CH3CCl3,---,CCl4,---,N2O,---,CH4,---,CHCl3,---
1978.542,7,1978,147.067,6.349,268.552,11.092,0,0,71.805,10.458,88.972,1.348,299.316,0.823,0,0,0,0
1978.625,8,1978,148.527,5.784,269.862,11.241,0,0,71.088,10.246,89.489,1.784,299.441,0.561,0,0,0,0
1978.708,9,1978,148.925,5.412,271.445,9.476,0,0,69.845,8.76,89.393,1.479,299.889,0.49,0,0,0,0
1978.792,10,1978,149.67,5.189,273.775,9.159,0,0,70.845,8.261,88.964,1.188,300.557,0.582,0,0,0,0
1978.875,11,1978,150.647,4.904,276.78,7.185,0,0,71.945,7.771,88.941,0.657,300.598,0.467,0,0,0,0
1978.958,12,1978,152.607,5.623,280.265,8.52,0,0,74.768,9.833,90.429,1.471,300.255,0.528,0,0,0,0
1979.042,1,1979,153.245,4.635,283.425,8.146,0,0,74.405,8.975,91.107,1.915,301.152,0.463,0,0,0,0
1979.125,2,1979,152.836,4.366,283.455,7.83,0,0,74.29,9.603,90.733,2.051,301.215,0.451,0,0,0,0
1979.208,3,1979,152.893,4.699,284.052,7.396,0,0,74.815,9.23,89.528,1.213,300.63,0.256,0,0,0,0
1979.292,4,1979,154.167,4.881,285.533,7.573,0,0,75.941,9.633,90.063,1.294,300.577,0.283,0,0,0,0
1979.375,5,1979,155.072,5.354,286.657,8.251,0,0,76.582,9.587,90.854,1.887,300.672,0.456,0,0,0,0
1979.458,6,1979,155.525,5.281,286.92,7.935,0,0,76.62,9.148,90.952,1.991,300.84,0.353,0,0,0,0
1979.542,7,1979,156.427,5.586,289.312,9.026,0,0,76.863,9.113,91.018,1.863,300.637,0.154,0,0,0,0
1979.625,8,1979,157.453,5.588,291.99,9.326,0,0,78.075,9.075,90.879,1.832,300.42,0.131,0,0,0,0
1979.708,9,1979,157.625,5.464,291.58,8.618,0,0,76.977,8.067,90.659,1.652,300.657,0.286,0,0,0,0
1979.792,10,1979,158.609,5.495,293.93,9.4,0,0,78.702,8.512,91.189,1.453,300.882,0.383,0,0,0,0
1979.875,11,1979,159.629,5.414,295.9,9.961,0,0,80.055,8.64,90.971,2.093,300.99,0.23,0,0,0,0
1979.958,12,1979,160.264,5.486,296.553,9.286,0,0,79.574,9.936,91.959,2.001,300.862,0.292,0,0,0,0
1980.042,1,1980,161.303,5.039,297.938,8.387,0,0,81.455,10.163,92.595,2.118,300.952,0.281,0,0,0,0
1980.125,2,1980,161.702,4.584,299.283,6.994,0,0,81.607,9.482,92.195,1.909,300.735,0.192,0,0,0,0
1980.208,3,1980,163.217,4.962,302.04,7.71,0,0,83.545,10.276,92.592,2.142,301.05,0.335,0,0,0,0
1980.292,4,1980,163.974,4.897,303.579,7.538,0,0,83.678,10.266,92.44,1.742,300.561,0.182,0,0,0,0
1980.375,5,1980,164.995,4.745,304.787,7.555,0,0,84.726,9.728,92.791,1.734,300.329,0.463,0,0,0,0
1980.458,6,1980,165.288,4.77,306.788,8.388,0,0,85.175,9.532,92.704,1.7,300.7,0.302,0,0,0,0
1980.542,7,1980,166.001,4.683,309.24,8.926,0,0,85.181,8.898,92.421,1.816,301.151,0.358,0,0,0,0
1980.625,8,1980,166.76,4.789,309.9,8.539,0,0,84.971,8.05,92.425,1.794,300.926,0.284,0,0,0,0
1980.708,9,1980,167.635,4.665,311.158,8.645,0,0,84.935,7.574,92.491,1.653,301.452,0.265,0,0,0,0
1980.792,10,1980,167.726,4.821,311,9.679,0,0,86.156,8.136,92.428,1.967,301.841,0.69,0,0,0,0
1980.875,11,1980,169.544,4.575,313.304,8.785,0,0,87.565,8.679,93.091,1.893,301.807,0.27,0,0,0,0
1980.958,12,1980,170.126,4.32,314.415,8.572,0,0,87.901,8.666,93.4,1.925,301.496,0.175,0,0,0,0
1981.042,1,1981,170.785,4.178,315.323,8.237,0,0,87.711,8.382,93.659,1.974,301.406,0.187,0,0,0,0
1981.125,2,1981,170.99,4.415,315.801,8.536,0,0,88.509,8.569,93.533,2.263,301.099,0.192,0,0,0,0
1981.208,3,1981,171.233,3.947,315.771,7.494,0,0,88.055,7.852,93.792,2.314,301.159,0.168,0,0,0,0
1981.292,4,1981,172.077,4.488,318.004,8.186,0,0,89.368,8.876,94.12,2.404,301.567,0.324,0,0,0,0
1981.375,5,1981,172.707,4.506,319.049,7.977,0,0,89.997,9.241,94.091,2.428,301.259,0.327,0,0,0,0
1981.458,6,1981,173.293,4.109,319.789,7.552,0,0,90.099,8.679,93.919,2.032,301.004,0.353,0,0,0,0
1981.542,7,1981,173.981,4.436,321.177,8.3,0,0,89.978,8.618,94.041,2.078,300.592,0.485,0,0,0,0
1981.625,8,1981,175.092,4.542,324.095,8.424,0,0,89.899,8.063,94.032,1.861,301.2,0.442,0,0,0,0
1981.708,9,1981,176.238,4.535,326.139,8.249,0,0,90.321,7.948,94.037,1.929,301.467,0.448,0,0,0,0
1981.792,10,1981,177,4.718,327.391,9.201,0,0,90.585,8.24,93.881,2.306,301.626,0.554,0,0,0,0
1981.875,11,1981,178.092,4.72,328.851,9.065,0,0,90.863,8.241,94.173,2.403,301.989,0.465,0,0,0,0
1981.958,12,1981,178.979,4.408,329.761,7.764,0,0,91.87,8.491,94.03,1.904,302.013,0.317,0,0,0,0
1982.042,1,1982,178.926,4.035,331.18,7.253,0,0,92.24,8.623,94.069,1.629,302.441,0.303,0,0,0,0
1982.125,2,1982,179.182,4.134,332.114,7.109,0,0,92.869,8.421,94.314,1.259,302.764,0.263,0,0,0,0
1982.208,3,1982,179.445,4.368,333.049,7.262,0,0,93.119,9.037,94.258,1.254,302.906,0.308,0,0,0,0
1982.292,4,1982,180.219,4.491,335.348,7.964,0,0,94.991,10.049,94.647,1.412,303.372,0.569,0,0,0,0
1982.375,5,1982,180.93,4.202,336.247,7.518,0,0,94.764,9.114,94.921,1.346,303.686,0.618,0,0,0,0
1982.458,6,1982,181.695,4.011,338.541,7.982,0,0,95.01,8.752,94.996,1.349,304.057,0.748,0,0,0,0
1982.542,7,1982,182.257,4.18,339.486,8.168,0,0,95.298,8.855,95.089,1.492,303.925,0.588,0,0,0,0
1982.625,8,1982,183.222,4.266,341.136,7.948,0,0,94.706,7.776,95.229,1.536,303.549,0.203,0,0,0,0
1982.708,9,1982,183.748,4.279,342.401,8.303,0,0,94.165,7.34,95.086,1.572,303.495,0.249,0,0,0,0
1982.792,10,1982,184.766,4.626,343.974,8.553,0,0,94.981,7.928,95.368,1.675,303.68,0.308,0,0,0,0
1982.875,11,1982,185.643,4.846,345.95,8.387,0,0,95.601,8.465,95.139,1.899,303.785,0.326,0,0,0,0
1982.958,12,1982,186.093,4.839,348.024,9.038,0,0,96.756,9.663,95.556,2.189,303.671,0.258,0,0,0,0
1983.042,1,1983,186.457,4.484,348.256,8.045,0,0,96.13,9.041,95.64,2.025,303.693,0.217,0,0,0,0
1983.125,2,1983,187.008,4.277,349.042,7.93,0,0,96.06,9.072,95.919,2.007,303.736,0.352,0,0,0,0
1983.208,3,1983,187.975,4.135,350.259,7.518,0,0,96.788,8.666,96.315,1.786,303.671,0.428,0,0,0,0
1983.292,4,1983,189.051,4.63,351.188,7.751,0,0,98.339,9.743,95.875,1.508,303.633,0.392,0,0,0,0
1983.375,5,1983,189.723,4.588,352.489,7.656,0,0,98.842,9.505,95.821,1.42,303.469,0.343,0,0,0,0
1983.458,6,1983,190.475,4.466,353.889,6.979,0,0,98.728,8.833,95.745,1.392,303.263,0.303,0,0,0,0
1983.542,7,1983,191.598,4.759,356.244,7.586,0,0,99.03,8.535,95.779,1.421,303.375,0.312,0,0,0,0
1983.625,8,1983,192.671,5.202,359.415,7.978,0,0,99.121,8.264,96.293,1.565,303.864,0.17,0,0,0,0
1983.708,9,1983,192.798,4.635,360.628,7.928,0,0,98.471,7.433,96.339,1.587,303.639,0.139,0,0,0,0
1983.792,10,1983,193.536,4.814,362.019,8.018,0,0,98.614,7.671,96.539,1.756,303.579,0.121,0,0,0,0
1983.875,11,1983,194.156,4.771,363.111,7.835,0,0,98.849,8.195,96.607,1.788,303.804,0.128,0,0,0,0
1983.958,12,1983,195.132,4.566,364.966,7.7,0,0,101.006,9.205,96.824,1.7,303.898,0.154,0,0,0,0
1984.042,1,1984,195.339,3.993,365.125,6.429,0,0,100.952,8.646,96.785,1.415,303.835,0.208,0,0,0,0
1984.125,2,1984,196.42,4.283,365.857,7.01,0,0,101.588,8.872,96.675,1.396,303.848,0.153,0,0,0,0
1984.208,3,1984,196.96,4.123,366.642,7.04,0,0,102.743,8.982,96.743,1.401,303.665,0.198,0,0,0,0
1984.292,4,1984,197.732,4.095,368.14,6.851,0,0,102.33,9.264,97,1.506,303.755,0.189,0,0,0,0
1984.375,5,1984,197.735,4.367,369.432,7.347,34.546,1.896,102.875,10.158,97.312,1.611,304.155,0.201,0,0,0,0
1984.458,6,1984,198.33,4.171,370.965,7.552,34.863,1.875,103.47,9.858,97.375,1.675,304.13,0.243,0,0,0,0
1984.542,7,1984,199.293,4.234,372.75,7.738,35.03,1.8,103.357,9.306,97.302,1.574,303.943,0.206,0,0,0,0
1984.625,8,1984,200.008,4.209,374.413,7.809,35.009,1.621,103.23,8.463,97.29,1.456,304.013,0.275,0,0,0,0
1984.708,9,1984,201.081,4.207,376.682,8.034,35.598,1.812,102.982,7.864,97.515,1.53,304.155,0.337,0,0,0,0
1984.792,10,1984,201.845,4.749,378.412,9.118,36.24,2.148,103.493,8.207,97.713,1.645,304.2,0.505,0,0,0,0
1984.875,11,1984,202.395,4.577,379.92,8.373,36.683,2.317,103.69,8.241,97.91,1.659,304.24,0.661,0,0,0,0
1984.958,12,1984,204.024,4.402,382.648,8.045,37.3,2.221,106.007,9.429,98.393,1.671,304.29,0.425,0,0,0,0
1985.042,1,1985,203.938,4.071,383.492,7.587,37.935,2.279,105.878,9.34,98.408,1.545,304.325,0.332,0,0,0,0
1985.125,2,1985,204.283,3.954,384.323,6.834,37.823,2.135,105.997,9.309,98.46,1.397,304.42,0.248,0,0,0,0
1985.208,3,1985,205.095,4.2,385.633,7.046,38.343,2.134,106.827,9.914,98.478,1.384,304.302,0.294,0,0,0,0
